id,status,traj,step,moved,sign,file,error,z_extraction [mm],wallclock [s],KE_IE_steady_max [%],KE_IE_overall_max [%],AE_IE_final [%],E_ref [mJ],ETOTAL_drift [%],ALLIE_max [mJ],ALLPW [%],KE_final_over_IE_peak [%],F_n [N],F_t [N],F_fit_mode [-],F_fit_n [samples],F_fit_z [mm],SCOF_mean [-],SCOF_std [-],SCOF_n [samples],h_r [mm],h_p [mm],h_fp [mm],quality_flags,in_design,u_X,g_X,u_h,g_h,u_w,g_w,u_eps_c,g_eps_c,u_beta,g_beta,u_K,g_K,u_mu_eff,g_mu_eff,u_phi,g_phi
00027,SUSPECT,2,8,beta,1,Design_00027_Results.csv,,1.9033412887828163,4093.0,0.03277247447912459,0.6921407117783287,2.0247536540062816,0.9393545985221863,0.23241041818226232,0.7929630875587463,2.6015176790502137,0.000401233490427576,7.229240001950946,2.142548571314131,ramp_fit,20,1.98,0.22365809264221642,0.06097645518910168,74,0.03527121938005549,0.019989519671644813,0.0318862322265456,AE_IE_final=2.02%>2; ALLPW=2.6%>2,1,1.0,60.0,0.3333333333,0.15,0.3333333333,-0.1166666667,0.3333333333,0.1,0.6666666667,23.66666667,0.3333333333,0.852,0.0,0.05,0.3333333333,0.3166666667
00028,MISSING,3,0,,0,,no *_Results.csv for this design id,,,,,,,,,,,,,,,,,,,,,,,1,1.0,60.0,0.3333333333,0.15,0.0,-0.35,0.0,0.05,0.0,1.0,0.6666666667,0.926,1.0,0.45,0.3333333333,0.3166666667
00029,MISSING,3,1,K,-1,,no *_Results.csv for this design id,,,,,,,,,,,,,,,,,,,,,,,1,1.0,60.0,0.3333333333,0.15,0.0,-0.35,0.0,0.05,0.0,1.0,0.0,0.778,1.0,0.45,0.3333333333,0.3166666667
00030,SUSPECT,3,2,phi,1,Design_00030_Results.csv,,1.8854415274463006,6504.0,0.06801305720995118,0.627673895404588,5.981000608182345,1.4073222875595093,0.41146619735758194,1.0016913414001465,3.6549524690874367,0.00041344949644170153,3.1880748237882335,3.2111972536359508,ramp_fit,20,1.98,0.8699414825866472,0.11524749065821295,77,0.0389988427969082,0.006193669323123405,0.07501053682945415,AE_IE_final=5.98%>2; ALLPW=3.65%>2,1,1.0,60.0,0.3333333333,0.15,0.0,-0.35,0.0,0.05,0.0,1.0,0.0,0.778,1.0,0.45,1.0,0.95
00031,SUSPECT,3,3,h,1,Design_00031_Results.csv,,1.909307875894988,4035.0,0.05238611003149956,0.627673895404588,3.030347544121849,2.285578966140747,0.18633737470417766,1.3444790840148926,3.5370662754671636,0.0005870904998949713,5.9408675261906225,5.509976489203317,ramp_fit,20,1.98,0.8438209005706231,0.07720225823903554,71,0.03614452654892069,0.008724213830465132,0.06647104731996693,AE_IE_final=3.03%>2; ALLPW=3.54%>2,1,1.0,60.0,1.0,0.45,0.0,-0.35,0.0,0.05,0.0,1.0,0.0,0.778,1.0,0.45,1.0,0.95
00032,SUSPECT,3,4,eps_c,1,Design_00032_Results.csv,,1.8854415274463006,4135.0,0.0510767175411545,0.627673895404588,3.0829191540190157,2.4406824111938477,0.16489080649301882,1.4522281885147095,3.474445646189632,0.0005270209690928857,6.2962458678654265,5.840171568734304,ramp_fit,20,1.98,0.8379137551675707,0.07837325763474665,69,0.03638646102807215,0.006533650619326213,0.0676976274027119,AE_IE_final=3.08%>2; ALLPW=3.47%>2,1,1.0,60.0,1.0,0.45,0.0,-0.35,0.6666666667,0.15,0.0,1.0,0.0,0.778,1.0,0.45,1.0,0.95
00033,SUSPECT,3,5,mu_eff,-1,Design_00033_Results.csv,,1.8794749403341289,4998.0,0.0472348367717366,0.6170268665264438,2.827234669620201,1.363511562347412,0.31228869709679097,0.9081335067749023,2.549953929737845,0.000193596295843516,6.772360481534682,3.247030956404549,ramp_fit,20,1.98,0.42593857249725864,0.057018963051767624,72,0.0348783991657617,0.015305091056560256,0.050781613292971664,AE_IE_final=2.83%>2; ALLPW=2.55%>2,1,1.0,60.0,1.0,0.45,0.0,-0.35,0.6666666667,0.15,0.0,1.0,0.0,0.778,0.3333333333,0.1833333333,1.0,0.95
00034,SUSPECT,3,6,X,-1,Design_00034_Results.csv,,1.8794749403341289,2386.0,0.08441627396730204,1.2808359282616781,1.5021207898076423,0.8580654859542847,0.21494217991865766,0.5230725407600403,2.531024567673547,0.0007349196861657761,4.874369004794529,2.0446343830653597,ramp_fit,20,1.98,0.3610559746609047,0.061403052296718864,71,0.029743265583170274,0.011813463868927256,0.036424870472672795,ALLPW=2.53%>2,1,0.3333333333,20.51971136,1.0,0.45,0.0,-0.35,0.6666666667,0.15,0.0,1.0,0.0,0.778,0.3333333333,0.1833333333,1.0,0.95
00035,OK,3,7,w,1,Design_00035_Results.csv,,1.8794749403341289,2077.0,0.08441830199406727,1.2808359282616781,0.8149200152051718,0.8787207007408142,0.08653475495688075,0.5079028010368347,1.6542166316646574,0.0011553336657370882,5.370484358923776,2.1280183638845167,ramp_fit,20,1.98,0.3299015644792409,0.05824786428137748,69,0.028109030828137014,0.009229429144876355,0.02597874564939154,,1,0.3333333333,20.51971136,1.0,0.45,0.6666666667,0.1166666667,0.6666666667,0.15,0.0,1.0,0.0,0.778,0.3333333333,0.1833333333,1.0,0.95
00036,SUSPECT,3,8,beta,1,Design_00036_Results.csv,,1.867541766109785,2029.0,0.08719174700271054,1.2808359282616781,1.0180164970227688,0.8735669851303101,0.2005146331658072,0.4771203100681305,2.0146863521356617,0.0027239417239741733,5.635869216918946,2.1656438946723937,ramp_fit,20,1.98,0.3051281541321357,0.061269032454182894,70,0.027300857805914767,0.00710917484366059,0.020787700860361084,ALLPW=2.01%>2,1,0.3333333333,20.51971136,1.0,0.45,0.6666666667,0.1166666667,0.6666666667,0.15,0.6666666667,23.66666667,0.0,0.778,0.3333333333,0.1833333333,1.0,0.95
